COLUMN,MEDIAN,MEAN,STDEV
education,4.0,,
stressgen,3.0,,
stresswork,2.0,,
healthphys,3.0,,
healthment,3.0,,
satisfaction,2.0,,
agegroup,10.0,9.846666666666666,3.6504550705661645
incomegroup,3.0,3.4193333333333333,1.3854576460104757
alcofreq,4.0,4.058666666666666,2.265220715270123
alcoweek,2.0,4.62268803945746,7.815737273260203
fruitvegtot,4.4,4.736666666666666,2.496483304348116
bmi,25.625,26.42862,5.346533995240905
height,1.676,1.688562,0.10099358802749146
weight,74.25,75.52103333333332,16.96563074175421
workhoursperweek,40.0,38.40191387559808,14.879377725716365
yrsmokedaily,4.0,4.240666666666667,1.750451243409983
